,name,year,genre
397,We can Be Gay Today: Baltic Pride 2013,(2014)," Documentary, Family, History            "
398,Purple Skies,(2014)," Drama, Romance            "
399,Gu lian hua,(2005)," Comedy, Drama, Romance            "
400,Curiosity Killed the Cat,(2012), Comedy            
401,The D Word,(2005)," Comedy, Drama, Romance            "
402,Maple Palm,(2006)," Comedy, Drama            "
403,So Long Suburbia,(2016), Documentary            
404,WebCam Boys,(2001), Drama            
405,El derecho de Jesús - The Right of Jesús,(2008), Documentary            
406,13 Genders,(2004), Drama            
407,Listening to Rain,(2012), Romance            
408,Little Fishes,(2014)," Documentary, Drama, Family            "
409,Hello Stranger,(I) (2014), Drama            
410,Así,(2005), Drama            
411,Iglú,(2013), Drama            
412,Fremde Freundin,(1999), Documentary            
413,Brother Born Again,(2001), Drama            
414,Desperate bekjentskaper,(1998)," Documentary, Biography, Music            "
415,Joaquin La Habana - LebenZwischenWelten,(2014), Documentary            
416,Before Homosexuals,(2017), Drama            
417,Mo yan ka sai,(2000), Documentary            
418,Pier Kids: The Life,(2015)," Biography, Comedy, Drama            "
419,Peter Pandrew,(2015), Documentary            
420,"Many People, Many Desires",(2007), Drama            
421,Entrada y Salida,(2012), Drama            
422,Kumpisal,(2007), Documentary            
423,Sexuality the Documentary,(2001), Documentary            
424,Habana Libre,(2006), Documentary            
425,Coming out po polsku,(2011), Documentary            
426,Dancing on Pearls,(1998), Documentary            
427,Lead with Love: A Documentary Film by Logan Lynn,(2017),
