,budget,company,country,director,gross,name,rate,star,voter
1302,,"Lifer Films,Next Wave Films,Stolen Car Productions,See more »,",USA,,"$348,507,",Keep the River on Your Right: A Modern Cannibal Tale (2000) ,6.8,"Tobias Schneebaum,Norman Mailer,Michael Nelson Rockefeller,",777
1303,,"Bangor Films,See more »,",USA,Todd Verow,,Required Field (2016) ,4.6,"Brad Hallowell,Nathan Johnson,Todd Verow,|,See full cast & crew,",13
1304,"SEK 1,850,000","Filmlance International AB,Tribad,See more »,",Sweden,Bitte Andersson,,Dyke Hard (2014) ,4.9,"Peggy Sands,Alle Eriksson,M. Wågensjö,|,See full cast & crew,",279
1305,"$50,000","Everything Is Going to Be Just Fine Productions,Proteus Pictures,See more »,",USA,William Clift,,I Want to Get Married (2011) ,3.8,"Matthew Montgomery,Ashleigh Sumner,Emrhys Cooper,|,See full cast & crew,",131
1306,,"Sweet Tea Productions,See more »,",USA,Tag Purvis,,Red Dirt (2000) ,6.3,"Dan Montgomery Jr.,Aleksa Palladino,Karen Black,|,See full cast & crew,",873
1307,,"Abandon Pictures,Film Farm,See more »,",USA,Boris Damast,,Pros & Cons (1999) ,5.5,"Derek Basco,Andre Rosey Brown,Bill Lee Brown,|,See full cast & crew,",392
1308,,"TLR Productions,See more »,",USA,David Stenn,,Girl 27 (2007) ,6.5,"Patricia Douglas,Baby Peggy,Richard Bann,|,See full cast & crew,",770
1309,,"Impala,See more »,",Spain,Juan Martínez Moreno,,Dos tipos duros (2003) ,6.2,"Antonio Resines,Elena Anaya,Rosa Maria Sardà,|,See full cast & crew,",467
1310,,"Rio Negro,See more »,",Mexico,Gustavo Loza,,La otra familia (2011) ,7.3,"Jorge Salinas,Luis Roberto Guzmán,Ana Serradilla,|,See full cast & crew,",765
1311,,"Ferfilm,See more »,",France,Hervé Joseph Lebrun,,Mondo Homo 2: A Study of French Gay Porn in the '70s (2014) ,9.0,"François About,Philippe Vallois,Jean-Michel Sénécal,|,See full cast & crew,",8
1312,,"Viva Films,See more »,",Philippines,Al Tantay,,Juan & Ted: Wanted (2000) ,6.1,"Janno Gibbs,Bayani Agbayani,Anne Curtis,|,See full cast & crew,",9
1313,,,USA,Paul Stenerson,,Why Men Go Gay in L.A. (2009) ,4.6,"Skyler Stone,Monica Allgeier,Aimee-Lynn Chadwick,|,See full cast & crew,",34
1314,,"Mandarin Films,Morena Films,M6 Films,See more »,","France,Spain",Fabien Onteniente,,People (2004) ,3.0,"Rupert Everett,José Garcia,Patrice Cols,|,See full cast & crew,",558
1315,"AUD 10,000","Artphotos,Dale Street Studios,See more »,",Australia,Paul Dangerfield,,Performance Anxiety (2008) ,7.9,"Luke Mitchell,Joss Mars,Wanda D'Parke,",10
1316,,"Banfilm,Pinnacle Pictures,Portman Productions,See more »,","Spain,UK,France",Daphna Kastner,"$11,147,",Spanish Fly (1998) ,4.6,"Daphna Kastner,Toni Cantó,Martin Donovan,|,See full cast & crew,",151
1317,,"New Life Cinema,Professional Productions,See more »,",Philippines,Ronaldo Bertubin,,Sikil (2008) ,6.4,"Ken Escudero,Will Sandejas,Ashley Silverio,|,See full cast & crew,",62
1318,,"Argonauts Productions S.A.,Attika S.A.,Audio Visual Enterprises,See more »,",Greece,,,Straight Story (2006) ,5.7,"Hristos Hatzipanagiotis,Vladimiros Kiriakidis,Anthem Moss,|,See full cast & crew,","2,572"
1319,,"ARTE,Cinemendo,LUNA-Film GmbH,See more »,",Germany,Sinan Akkus,,"Evet, ich will! (2008) ",6.6,"Heinrich Schafmeister,Ingeborg Westphal,Oliver Korittke,|,See full cast & crew,",398
1320,,"D'un Film l'Autre,France Télévisions Distribution,Centre National de la Cinématographie (CNC),See more »,","France,Cambodia",Nathan Nicholovitch,,De l'ombre il y a (2015) ,6.8,"David D'Ingeo,Panna Nat,Ucoc Lai,|,See full cast & crew,",30
1321,,"Picture This! Entertainment,See more »,",USA,,,Boys Briefs (1999) ,5.5,"Gary Cohen,Victor Garber,Mateo Gómez,|,See full cast & crew,",155
1322,"$1,000,000","July Street Entertainment,Sleeping Giant Productions,See more »,",USA,José Luis Valenzuela,"$428,535,",Luminarias (2000) ,3.7,"Evelina Fernández,Scott Bakula,Cheech Marin,|,See full cast & crew,",521
1323,,,Chile,Erick Salas Kirchhausen,,Des/Esperando (2010) ,4.8,"Tomas Colvin,Veronica Moraga,Fernando Quintana,",59
1324,,"Moore's Filmed Goods and Services,Tripod Media,See more »,",USA,,,The Case Against 8 (2014) ,7.4,"Ted Olson,Christopher D. Dusseault,Jeffrey J. Zarrillo,|,See full cast & crew,",966
1325,,"Format Factory,See more »,",Czech Republic,Vojtech Kotek,,Padesátka (2015) ,5.6,"Ondrej Pavelka,Marek Taclík,Jakub Prachar,|,See full cast & crew,",163
1326,,"Filmstiftung Nordrhein-Westfalen,Heimatfilm,Zentropa Entertainments,See more »,","Germany,Denmark",Christoph Hochhäusler,,Falscher Bekenner (2005) ,6.4,"Constantin von Jascheroff,Manfred Zapatka,Victoria Trauttmansdorff,|,See full cast & crew,",597
1327,,"Narrative Films,See more »,",USA,Jake Yuzna,,Open (2010) ,5.4,"Tempest Crane,Jendeen Forberg,Gaea Gaddy,|,See full cast & crew,",97
