,name,year,genre,rate,voter,director,star,country,company,budget,gross
76,Laurel Canyon,(2002), Drama            ,6.4,"15,010",Lisa Cholodenko,"Frances McDormand,Alessandro Nivola,Christian Bale,|,See full cast & crew,",USA,"Sony Pictures Classics,Good Machine,Antidote Films (I),See more »,",,"$3,663,356,"
77,Pretty Persuasion,(2005)," Comedy, Drama            ",6.6,"9,343",Marcos Siega,"Evan Rachel Wood,Ron Livingston,James Woods,|,See full cast & crew,",USA,"REN-Mar Studios,Prospect Pictures,See more »,","$2,500,000","$305,688,"
78,Appropriate Behavior,(2014)," Comedy, Drama, Romance            ",6.6,"3,286",Desiree Akhavan,"Desiree Akhavan,Rebecca Henderson,Halley Feiffer,|,See full cast & crew,",UK,"Parkville Pictures,See more »,",,
79,Deathgasm,(2015)," Action, Comedy, Horror            ",6.3,"13,367",Jason Lei Howden,"Milo Cawthorne,James Blake,Kimberley Crossman,|,See full cast & crew,","New Zealand,USA","Metalheads,MPI Media Group,New Zealand Film Commission,See more »,",,
80,Les petits mouchoirs,(2010)," Comedy, Drama            ",7.1,"21,168",Guillaume Canet,"François Cluzet,Marion Cotillard,Benoît Magimel,|,See full cast & crew,",France,"Les Productions du Trésor,EuropaCorp,Caneo Films,See more »,","$25,000,000","$206,088"
81,Don's Plum,(2001)," Comedy, Drama            ",5.8,"3,666",R.D. Robb,"Scott Bloom,Kevin Connolly,Tobey Maguire,|,See full cast & crew,","USA,Denmark,Sweden","Polo Pictures Entertainment,Trust Film Svenska,Zentropa Entertainments,See more »,",,
82,The D Train,(2015)," Comedy, Drama            ",5.0,"9,801",,"Jack Black,James Marsden,Kathryn Hahn,|,See full cast & crew,","UK,USA","Ealing Studios Entertainment,Ealing Studios,Electric Dynamite,See more »,","$3,000,000","$660,994,"
83,Viharsarok,(2014)," Drama, Romance, Sport            ",6.7,"2,783",Ádám Császi,"András Sütö,Ádám Varga,Sebastian Urzendowsky,|,See full cast & crew,","Hungary,Germany","Proton Cinema,I'm FILM,Café Film,See more »,","HUF 120,000,000",
84,XX/XY,(2002)," Drama, Romance            ",6.0,"2,955",Austin Chick,"Mark Ruffalo,Kathleen Robertson,Maya Stange,|,See full cast & crew,",USA,"Robbins Entertainment,Intrinsic Value Films,Natural Nylon Entertainment,See more »,",,"$103,874,"
85,Another Gay Movie,(2006)," Comedy, Romance            ",5.0,"8,340",Todd Stephens,"Michael Carbonaro,Jonathan Chase,Jonah Blechman,|,See full cast & crew,",USA,"Luna Pictures,Piloton Entertainment,Velvet Films,See more »,","$500,000","$654,132,"
86,Stage Beauty,(2004), Drama            ,7.2,"9,418",Richard Eyre,"Billy Crudup,Claire Danes,Rupert Everett,|,See full cast & crew,","UK,USA,Germany","Lions Gate Films,Qwerty Films,Tribeca Productions,See more »,",,"$776,691,"
87,Los amantes pasajeros,(2013), Comedy            ,5.6,"19,746",Pedro Almodóvar,"Javier Cámara,Pepa Charro,Cecilia Roth,|,See full cast & crew,",Spain,"El Deseo,See more »,","€5,000,000","$1,367,846,"
88,Gutterballs,(2008)," Comedy, Horror, Sport            ",4.7,"2,849",Ryan Nicholson,"Alastair Gamble,Mihola Terzic,Nathan Witte,|,See full cast & crew,",Canada,"Plotdigger Films,See more »,","$250,000",
89,Flawless,(1999)," Comedy, Crime, Drama            ",6.4,"16,184",Joel Schumacher,"Robert De Niro,Philip Seymour Hoffman,Barry Miller,|,See full cast & crew,",USA,"Tribeca Productions,See more »,","$15,000,000","$4,485,485,"
90,Tom of Finland,(2017)," Biography, Drama            ",6.8,"3,549",Dome Karukoski,"Pekka Strang,Seumas F. Sargent,Chris Myland,|,See full cast & crew,","Finland,Sweden,Denmark,Germany,Iceland,USA","Helsinki Filmi Oy,Anagram,Fridthjof Film,See more »,","€5,000,000","$378,296,"
91,The Sex Monster,(1999), Comedy            ,5.3,"2,375",Mike Binder,"Mariel Hemingway,Mike Binder,Renée Humphrey,|,See full cast & crew,",USA,"Greentrees Films,Sun-Lite Pictures (II),Trimark Pictures,See more »,",,
92,AWOL,(2016)," Drama, Romance            ",5.3,726,Deb Shoval,"Lola Kirke,Kyle Monaghan,Dale Soules,|,See full cast & crew,",USA,"Race Point Films,Public Square Films,See more »,",,
93,Rise,(2007)," Action, Horror, Mystery            ",4.9,"10,870",Sebastian Gutierrez,"Lucy Liu,Michael Chiklis,Carla Gugino,|,See full cast & crew,",USA,"Mandate Pictures,Kingsgate Films,Destination Films,See more »,",,"$106,398,"
94,Iris,(I) (2001)," Biography, Drama, Romance            ",7.1,"15,959",Richard Eyre,"Judi Dench,Jim Broadbent,Kate Winslet,|,See full cast & crew,","UK,USA","British Broadcasting Corporation (BBC),Fox Iris Productions,Intermedia Films,See more »,","$5,500,000","$1,292,119,"
95,The Humbling,(2014)," Comedy, Drama, Romance            ",5.6,"5,708",Barry Levinson,"Al Pacino,Greta Gerwig,Nina Arianda,|,See full cast & crew,","USA,Italy","Ambi Pictures,Hammerton Productions,Stonelock Pictures,See more »,","$2,000,000",
96,De-Lovely,(2004)," Biography, Drama, Music            ",6.6,"10,294",Irwin Winkler,"Kevin Kline,Ashley Judd,Jonathan Pryce,|,See full cast & crew,","UK,USA","Metro-Goldwyn-Mayer (MGM),Potboiler Productions,Winkler Films,See more »,","$20,000,000","$13,337,299,"
97,Eating Out,(I) (2004)," Comedy, Drama, Romance            ",5.8,"5,569",Q. Allan Brocka,"Scott Lunsford,Jim Verraros,Emily Brooke Hands,|,See full cast & crew,",USA,"Ariztical Entertainment,See more »,","$50,000","$155,212,"
98,Body of Deceit,(2015)," Mystery, Romance, Thriller            ",4.3,199,Alessandro Capone,"Kristanna Loken,Antonio Cupo,Sarai Givaty,|,See full cast & crew,",Italy,"Project i Productions,Latina Pictures,See more »,",,
99,Milk and Honey: The Movie,(2018)," Action, Crime, Drama            ",0.0,0,Matt Gambell,"Mark Wingett,Claire King,Rachel Bright,|,See full cast & crew,",UK,"Milk and Honey - The Movie,Warrior Film Promotions,See more »,",,
100,Surrender Dorothy,(1998)," Comedy, Drama, Romance            ",6.0,306,Kevin DiNovis,"Peter Pryor,Kevin DiNovis,Jason Centeno,|,See full cast & crew,",USA,"G. Rich Entertainment,See more »,",,
101,L.I.E.,(2001)," Crime, Drama            ",7.2,"9,095",Michael Cuesta,"Brian Cox,Paul Dano,Bruce Altman,|,See full cast & crew,",USA,"Alter Ego Entertainment,Belladonna Productions,See more »,","$700,000","$1,141,829,"
102,Sommersturm,(2004)," Comedy, Drama, Romance            ",7.4,"12,408",Marco Kreuzpaintner,"Robert Stadlober,Kostja Ullmann,Miriam Morgenstern,|,See full cast & crew,",Germany,"Claussen & Wöbke Filmproduktion GmbH,ProSieben Entertainment,Seven Pictures,See more »,","€2,700,000","$95,016,"
103,Little Ashes,(2008)," Biography, Drama, Romance            ",6.6,"8,044",Paul Morrison,"Robert Pattinson,Javier Beltrán,Matthew McNulty,|,See full cast & crew,","UK,Spain","APT Films,Aria Films,Factotum Barcelona S.L.,See more »,","€2,500,000","$480,339,"
