,budget,company,country,director,gross,name,rate,star,voter
396,,"Franchise Pictures,Avnet/Kerner Productions,LTZ II Inc.,See more »,",USA,Rodrigo García,,Things You Can Tell Just by Looking at Her (2000) ,6.5,"Glenn Close,Cameron Diaz,Calista Flockhart,|,See full cast & crew,","6,184"
397,,"Horsethief Pictures,Indieproduction,See more »,",USA,Neil LaBute,,Dirty Weekend (2015) ,5.0,"Matthew Broderick,Alice Eve,Phil Burke,|,See full cast & crew,","1,725"
398,,"Free Chicken Films,See more »,",USA,Dorie Barton,,Girl Flu. (2016) ,6.3,"Katee Sackhoff,Jade Pettyjohn,Jeremy Sisto,|,See full cast & crew,",250
399,,"The Zalman King Company,See more »,",USA,Zalman King,,Women of the Night (2001) ,4.1,"Shawnee Free Jones,Seymour Cassel,Sally Kellerman,|,See full cast & crew,",223
400,"$2,000,000",,USA,Jeff Fisher,,Killer Movie (2008) ,4.7,"Paul Wesley,Kaley Cuoco,Gloria Votsis,|,See full cast & crew,","2,506"
401,,,USA,Blain Brown,,Web of Seduction (1999) ,5.3,"Lauren Hays,Eric Acsell,Tracy Ryan,|,See full cast & crew,",241
402,"$6,400,000","Enumerated Pictures,Huffington Pictures,Levy Leder Company,See more »,",USA,Gary Entin,,Geography Club (2013) ,6.6,"Cameron Deane Stewart,Justin Deeley,Meaghan Martin,|,See full cast & crew,","4,774"
403,,"Open Book Productions,Perfect Features,See more »,",USA,Albert Alarr,,A Million Happy Nows (2017) ,6.6,"Dan Gauthier,Dendrie Taylor,Robert Gant,|,See full cast & crew,",168
404,,"Nikkatsu,Stairway,See more »,",Japan,Sion Sono,,Tsumetai nettaigyo (2010) ,7.1,"Mitsuru Fukikoshi,Denden,Asuka Kurosawa,|,See full cast & crew,","9,233"
405,,"Les Films du Worso,Belle Epoque Films,Versus Production,See more »,","France,Germany,Belgium",Guillaume Nicloux,,La religieuse (2013) ,6.5,"Pauline Etienne,Isabelle Huppert,Louise Bourgoin,|,See full cast & crew,","1,351"
406,"$3,500,000","Power Up Films,See more »,",USA,Alexandra Kondracke,,Girltrash: All Night Long (2014) ,6.5,"Lisa Rieffel,Erin Kelly,Michelle Lombardo,|,See full cast & crew,","1,047"
407,,"Rock It Productions,See more »,",USA,Josh Stolberg,,Conception (2011) ,5.4,"Pamela Adlon,David Arquette,Aaron Ashmore,|,See full cast & crew,","1,133"
408,"$3,500,000","Artisan Entertainment,Motion Picture Corporation of America (MPCA),The Kushner-Locke Company,See more »,",USA,Neil Abramson,"$9,247,881,",Ringmaster (1998) ,3.2,"Jerry Springer,Jaime Pressly,William McNamara,|,See full cast & crew,","4,630"
409,,"3H Films,Orly Films,Paradis Films,See more »,","France,Taiwan",Hsiao-Hsien Hou,"$151,662,",Zui hao de shi guang (2005) ,7.0,"Qi Shu,Chen Chang,Fang Mei,|,See full cast & crew,","4,843"
410,,"Nut Bucket Films,Easy Open Productions,TwinBrother Films,See more »,",USA,Patrick Chapman,,ToY (2016) ,5.7,"Briana Evigan,Bre Blair,Nadine Crocker,|,See full cast & crew,",395
411,"$5,000,000","ArieScope Pictures,Dark Eye Entertainment,Leomax Entertainment,See more »,","USA,Canada",Paul Solet,"$6,174,",Grace (2009) ,5.2,"Jordan Ladd,Samantha Ferris,Gabrielle Rose,|,See full cast & crew,","7,253"
412,"$5,000,000","Polygram Filmed Entertainment,Propaganda Films,Fleece,See more »,",USA,Neil LaBute,"$4,710,749,",Your Friends & Neighbors (1998) ,6.4,"Amy Brenneman,Aaron Eckhart,Ben Stiller,|,See full cast & crew,","7,357"
413,,"Shake the Tree Productions,See more »,",USA,Mikki del Monico,,Alto (2015) ,4.9,"Annabella Sciorra,Billy Wirth,Natalie Knepp,|,See full cast & crew,",442
414,"$200,000","Running on Empty Productions,Bassline Digital,TKH Productions,See more »,",USA,Nitara Lee Osbourne,,Running on Empty Dreams (2009) ,4.6,"Kathleen Benner,Rachel Owens,Jose Rosete,|,See full cast & crew,",684
415,,"ContentFilm,Rubber Tree Plant,UK Film Council,See more »,",UK,Jeremy Brock,"$238,774,",Driving Lessons (2006) ,6.8,"Rupert Grint,Laura Linney,Julie Walters,|,See full cast & crew,","10,175"
416,,"Mosaic Film Group,Revere Pictures,Will & Company,See more »,","UK,USA",Mike Hodges,"$358,804,",I'll Sleep When I'm Dead (2003) ,5.8,"Clive Owen,Malcolm McDowell,Jonathan Rhys Meyers,|,See full cast & crew,","7,967"
417,"$2,000,000","The Kushner-Locke Company,See more »,",USA,Matthew Bright,,Freeway II: Confessions of a Trickbaby (1999) ,5.6,"Natasha Lyonne,María Celedonio,David Alan Grier,|,See full cast & crew,","2,434"
418,"$500,000",,USA,Eric Werthman,,Going Under (2004) ,5.0,"Geno Lechner,Roger Rees,Richard Eagan,|,See full cast & crew,",222
419,"$1,800,000","ErgoArts,Rigas Entertainment,See more »,",USA,Maggie Greenwald,"$3,050,934,",Songcatcher (2000) ,7.2,"Janet McTeer,Michael Harding,Michael Davis,|,See full cast & crew,","3,023"
420,,"Last Battlefield Productions,Red Road Studio,See more »,",USA,Ned Farr,,A Marine Story (2010) ,6.1,"Dreya Weber,Paris P. Pickard,Anthony Michael Jones,|,See full cast & crew,","1,985"
421,,"Italian Dreams Factory,Ministero per i Beni e le Attività Culturali (MiBAC),Sicilia Film Commission,See more »,",Italy,Donatella Maiorca,,Viola di mare (2009) ,6.8,"Valeria Solarino,Isabella Ragonese,Ennio Fantastichini,|,See full cast & crew,","1,291"
422,,"Three Little Birds Productions,Hollywood Treasures,See more »,",USA,Danielle Harris,,Among Friends (2012) ,4.5,"Alyssa Lobit,Jennifer Blanc-Biehn,Kamala Jones,|,See full cast & crew,","1,423"
423,,"Instinct Entertainment,See more »,",Australia,Dean Murphy,,Strange Bedfellows (2004) ,6.4,"Michael Caton,Alan Cassell,Andy Pappas,|,See full cast & crew,","1,669"
424,"AUD 780,000","Girls' Own Pictures,See more »,",Australia,Louise Wadley,,All About E (2015) ,4.7,"Mandahla Rose,Brett Rogers,Julia Billington,|,See full cast & crew,",824
425,,"Gold Circle Films,Brillstein-Grey Entertainment,Dolshor Productions,See more »,","Canada,USA",Vadim Jean,"$25,660,",Jiminy Glick in Lalawood (2004) ,5.6,"Martin Short,Jan Hooks,Linda Cardellini,|,See full cast & crew,","1,782"
426,,"Content Providers,DMS Films Limited,Popcorn the Movie Ltd.,See more »,",UK,Darren Paul Fisher,,Popcorn (2007) ,5.7,"Jack Ryder,Jodi Albert,Andrew Lee Potts,|,See full cast & crew,",922
427,"CAD 10,000","Cabin Movie Productions Ltd.,Hybrid Films,See more »,",Canada,Dylan Akio Smith,,The Cabin Movie (2005) ,4.7,"Arabella Bushnell,Ben Cotton,Brad Dryborough,|,See full cast & crew,",369
428,"$10,000,000","Ice Cold Productions,Empyreal Entertainment,Ringleader Studios,See more »,",USA,Jason Connery,,The Devil's Tomb (2009) ,3.8,"Cuba Gooding Jr.,Ray Winstone,Ron Perlman,|,See full cast & crew,","6,088"
429,,,USA,,,Camp Beaverton: Meet the Beavers (2013) ,5.2,,101
430,,"Playboy Entertainment Group,See more »,",USA,Eric Gibson,,Sinful Obsession (1999) ,5.2,"Nikki Fritz,Burke Morgan,Dana Robbins,|,See full cast & crew,",184
431,,"FGM Entertainment,See more »,",USA,Zoe Clarke-Williams,"$28,658,",New Best Friend (2002) ,5.3,"Taye Diggs,Dominique Swain,Mia Kirshner,|,See full cast & crew,","3,050"
432,"$8,000,000","Green/Renzi,See more »,",USA,John Sayles,"$1,997,807,",Limbo (1999) ,7.1,"David Strathairn,Mary Elizabeth Mastrantonio,Vanessa Martinez,|,See full cast & crew,","5,420"
433,,"City Block Productions,See more »,",USA,Caryn Krooth,,Jaded (1998) ,5.4,"Carla Gugino,Richard Bright,Robert Knepper,|,See full cast & crew,",640
434,,"Freshway Productions,Independent American Pictures,See more »,",USA,Doug Hoffman,,Survivors Exposed (2001) ,3.5,"Julie K. Smith,Shauna O'Brien,Alexus Winston,|,See full cast & crew,",238
